Année,Mois,URL
2010,de Janvier,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-janvier-2010_a59.html
2010,de Février,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-fevrier-2010_a56.html
2010,de Mars,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-mars-2010_a54.html
2010,d'Avril,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-avril-2010_a52.html
2010,de Mai,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-mai-2010_a49.html
2010,de Juin,nan
2010,de Juillet,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-juillet-2010_a45.html
2010,d'Août,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-aout-2010_a42.html
2010,de Septembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-septembre-2010_a567.html
2010,d'Octobre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-octobre-2010_a37.html
2010,de Novembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-novembre-2010_a33.html
2010,de Décembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-de-l-annee-2010_a30.html
2011,de Janvier,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Janvier-2011_a23.html
2011,de Février,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-fevrier-2011_a180.html
2011,de Mars,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-mars-2011_a601.html
2011,d'Avril,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-avril-2011_a621.html
2011,de Mai,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-mai-2011_a645.html
2011,de Juin,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-juin-2011_a697.html
2011,de Juillet,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-juillet-2011_a834.html
2011,d'Août,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Aout-2011_a885.html
2011,de Septembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-septembre-2011_a929.html
2011,d'Octobre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Octobre-2011_a936.html
2011,de Novembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Novembre-2011_a943.html
2011,de Décembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-de-l-annee-2011_a951.html
2012,de Janvier,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Janvier-2012_a964.html
2012,de Février,nan
2012,de Mars,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Mars-2012_a997.html
2012,d'Avril,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Avril-2012_a1015.html
2012,de Mai,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Mai-2012_a1030.html
2012,de Juin,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juin-2012_a1038.html
2012,de Juillet,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juillet-2012_a1056.html
2012,d'Août,nan
2012,de Septembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Septembre-2012_a1081.html
